,ZIP,State,City,CountyName,12/31/2015,12/31/2019,4/30/2022
27100,95720,CA,Kyburz,El Dorado County,216905.0,252995.0,410111.0
27101,93528,CA,Johannesburg,Kern County,,,107289.0
27134,93623,CA,Fish Camp,Mariposa County,367266.0,387985.0,489882.0
27228,95646,CA,Kirkwood,Alpine County,531071.0,532132.0,670054.0
27230,93605,CA,Big Creek,Fresno County,379164.0,419403.0,587520.0
27255,96108,CA,New Pine Creek,Modoc County,,172989.0,215938.0
27257,96115,CA,Lake City,Modoc County,178374.0,211105.0,270817.0
27293,93554,CA,Randsburg,Kern County,,,108526.0
27302,95715,CA,Soda Springs,Placer County,248203.0,335793.0,377529.0
27309,95981,CA,Strawberry Valley,Plumas County,204688.0,271101.0,315419.0
27310,95724,CA,Soda Springs,Placer County,580758.0,663314.0,1129584.0
27328,95375,CA,Strawberry,Tuolumne County,,,426858.0
27333,95721,CA,Twin Bridges,El Dorado County,262501.0,281592.0,436267.0
